 ,,LED,,,Parameters,,,,,,,,,,,,,,,,,,
,พืช,R,G,B,stem diameter (mm),No. leaf,FW (g),DW (g),root FW (g),root DW (g),stem length (cm),leaf area (cm^2),root length (cm),root diameter (mm),leaf width,leaf length,,,,,,,
12, ผักกาดกวางตุ้ง,40,30,30,,,18.54,22.24,,,,3.25,,,,,,,,,,,
13,ผักกาดหอม (ใบเขียว),27,46.9,26.1,,,,,12.89,0.63,,,,,,,,,,,,,
,ผักกาดหอม (ใบเขียว),20.4,33.9,45.7,,,,,12.54,0.66,,,,,,,,,,,,,
,ผักกาดหอม (ใบเขียว),17.7,0.6,81.7,,,,,10.67,0.46,,,,,,,,,,,,,
,ผักกาดหอม (ใบเขียว),15.7,0.5,80.4,,,,,10.83,0.56,,,,,,,,,,,,,
,ผักกาดหอม (ใบเขียว),14.8,5,80.2,,,,,11.61,0.55,,,,,,,,,,,,,
,ผักกาดหอม (ใบเขียว),13.9,0.4,85.7,,,,,13.56,0.62,,,,,,,,,,,,,
,ผักกาดหอม (ใบม่วง),27,46.9,26.1,,,,,6.91,0.31,,,,,,,,,,,,,
,ผักกาดหอม (ใบม่วง),20.4,33.9,45.7,,,,,8.15,0.4,,,,,,,,,,,,,
,ผักกาดหอม (ใบม่วง),17.7,0.6,81.7,,,,,9.32,0.4,,,,,,,,,,,,,
,ผักกาดหอม (ใบม่วง),15.7,0.5,80.4,,,,,9.27,0.42,,,,,,,,,,,,,
,ผักกาดหอม (ใบม่วง),14.8,5,80.2,,,,,8.05,0.36,,,,,,,,,,,,,
,ผักกาดหอม (ใบม่วง),13.9,0.4,85.7,,,,,10.06,0.45,,,,,,,,,,,,,
14,มะเขือเทศ,100,,,7.5,,,,,,12.4,320,,,,,,,,,,,
,มะเขือเทศ,,,100,6.82,,,,,,10.8,334,,,,,,,,,,,
,มะเขือเทศ,66.6667,,33.3333,7.22,,,,,,12,320,,,,,,,,,,,
,มะเขือเทศ,33.3333,,66.6667,7.2,,,,,,11.6,318,,,,,,,,,,,
,พริกหวาน,100,,,5.78,,,,,,8.92,168,,,,,,,,,,,
,พริกหวาน,,,100,5.16,,,,,,7.48,165,,,,,,,,,,,
,พริกหวาน,66.6667,,33.3333,5.6,,,,,,8.72,155,,,,,,,,,,,
,พริกหวาน,33.3333,,66.6667,5.72,,,,,,7,158,,,,,,,,,,,
15,ผักกาดหอม,,,100,,9.3,4.69,0.1593,0.041,,,,10.7,,,,,,,,,,
,ผักกาดหอม,100,,,,4.7,0.2487,0.0157,0.0003,,,,2,,,,,,,,,,
16,ไมร์เทิล (ไม้ดอก),,,100,,7.75,0.2756,0.04291,,,,,6.4,,,,,,,,,,
,ไมร์เทิล (ไม้ดอก),70,,30,,6.87,0.2385,0.03889,,,,,6.5,,,,,,,,,,
,ไมร์เทิล (ไม้ดอก),100,,,,4.11,0.2217,0.04084,,,,,10.01,,,,,,,,,,
1,ผักกาดหอม,,,100,,8.33,,,,,26.86,,,,,,,,,,,,
,ผักกาดหอม,50,,50,,12.17,,,,,20.47,,,,,,,,,,,,
,ผักกาดหอม,33.33,,66.66,,11.33,,,,,19.28,,,,,,,,,,,,
,ผักกาดหอม,66.66,,33.33,,10,,,,,20.72,,,,,,,,,,,,
3,พริกไทย,24.3,45.3,30.1,2.5,,1.8,0.18,0.8,0.065,11,150,,,,,,,,,,,
,พริกไทย,35.6,42.9,21.1,3,,3,0.3,0.95,0.08,14.7,100,,,,,,,,,,,
,พริกไทย,76.9,1,22,2.7,,2,0.2,0.9,0.07,12,70,,,,,,,,,,,
,พริกไทย,39.2,39.1,20.5,2.6,,2.1,0.2,0.6,0.57,11,130,,,,,,,,,,,
5,ผักกาดก้านขาว,66.66,,33.33,3.8,,,1.22,,0.18,10.23,73.94,,,,,,,,,,,
,ผักกาดก้านขาว,66.66,,33.33,3.5,,,0.93,,0.14,9.7,44.74,,,,,,,,,,,
,ผักกาดก้านขาว,66.66,,33.33,1.7,,,0.13,,0.02,8.13,18.46,,,,,,,,,,,
6,โหระพาเขียว,76,,24,,,,,,,22,670,,,,,,,,,,,
,โหระพาเขียว,44,32,24,,,,,,,25,650,,,,,,,,,,,
